# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	3045387	353	-							G7082_RS00005	750		old_locus_tag=G7082_00005
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	3045387	353	-	WP_238842668.1	WP_238842668.1		SH3 domain-containing protein			G7082_RS00005	750	249	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	406	735	-							G7082_RS00010	330		old_locus_tag=G7082_00010
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	406	735	-	WP_166033138.1	WP_166033138.1		phage holin, LLH family			G7082_RS00010	330	109	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	740	1084	-							G7082_RS00015	345		old_locus_tag=G7082_00015
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	740	1084	-	WP_202983117.1	WP_202983117.1		hypothetical protein			G7082_RS00015	345	114	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	1155	1679	-							G7082_RS00020	525		old_locus_tag=G7082_00020
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	1155	1679	-	WP_166033139.1	WP_166033139.1		hypothetical protein			G7082_RS00020	525	174	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	1719	3644	-							G7082_RS00025	1926		old_locus_tag=G7082_00025
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	1719	3644	-	WP_166033140.1	WP_166033140.1		SGNH/GDSL hydrolase family protein			G7082_RS00025	1926	641	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	3648	5378	-							G7082_RS00030	1731		old_locus_tag=G7082_00030
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	3648	5378	-	WP_166033141.1	WP_166033141.1		hypothetical protein			G7082_RS00030	1731	576	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	5383	5748	-							G7082_RS00035	366		old_locus_tag=G7082_00035
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	5383	5748	-	WP_166033142.1	WP_166033142.1		hypothetical protein			G7082_RS00035	366	121	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	5764	10725	-							G7082_RS00040	4962		old_locus_tag=G7082_00040
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	5764	10725	-	WP_166033143.1	WP_166033143.1		phage tail protein			G7082_RS00040	4962	1653	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	10741	11091	-							G7082_RS00045	351		old_locus_tag=G7082_00045
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	10741	11091	-	WP_166033144.1	WP_166033144.1		hypothetical protein			G7082_RS00045	351	116	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	11127	11549	-							G7082_RS00050	423		old_locus_tag=G7082_00050
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	11127	11549	-	WP_166033145.1	WP_166033145.1		DUF6096 family protein			G7082_RS00050	423	140	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	11695	12126	-							G7082_RS00055	432		old_locus_tag=G7082_00055
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	11695	12126	-	WP_166035981.1	WP_166035981.1		phage tail protein			G7082_RS00055	432	143	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	12173	12544	-							G7082_RS00060	372		old_locus_tag=G7082_00060
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	12173	12544	-	WP_166033146.1	WP_166033146.1		hypothetical protein			G7082_RS00060	372	123	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	12544	13071	-							G7082_RS00065	528		old_locus_tag=G7082_00065
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	12544	13071	-	WP_238842669.1	WP_238842669.1		HK97 gp10 family phage protein			G7082_RS00065	528	175	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	13092	13433	-							G7082_RS00070	342		old_locus_tag=G7082_00070
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	13092	13433	-	WP_166033148.1	WP_166033148.1		hypothetical protein			G7082_RS00070	342	113	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	13430	13759	-							G7082_RS00075	330		old_locus_tag=G7082_00075
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	13430	13759	-	WP_166033149.1	WP_166033149.1		phage head-tail connector protein			G7082_RS00075	330	109	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	13848	14876	-							G7082_RS00080	1029		old_locus_tag=G7082_00080
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	13848	14876	-	WP_166033150.1	WP_166033150.1		major capsid protein			G7082_RS00080	1029	342	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	14893	15513	-							G7082_RS00085	621		old_locus_tag=G7082_00085
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	14893	15513	-	WP_166033151.1	WP_166033151.1		DUF4355 domain-containing protein			G7082_RS00085	621	206	
gene	pseudogene	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	15774	15974	-							G7082_RS00090	201		partial;pseudo;old_locus_tag=G7082_00090
CDS	without_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	15774	15974	-				hypothetical protein			G7082_RS00090	201		partial;pseudo
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	15977	16171	-							G7082_RS00095	195		old_locus_tag=G7082_00095
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	15977	16171	-	WP_166033152.1	WP_166033152.1		hypothetical protein			G7082_RS00095	195	64	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	16168	17514	-							G7082_RS00100	1347		old_locus_tag=G7082_00100
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	16168	17514	-	WP_166033153.1	WP_166033153.1		minor capsid protein			G7082_RS00100	1347	448	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	17514	17801	-							G7082_RS00105	288		old_locus_tag=G7082_00105
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	17514	17801	-	WP_238842670.1	WP_238842670.1		hypothetical protein			G7082_RS00105	288	95	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	17798	18115	-							G7082_RS00110	318		old_locus_tag=G7082_00110
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	17798	18115	-	WP_166033154.1	WP_166033154.1		ribosomal-processing cysteine protease Prp			G7082_RS00110	318	105	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	18112	19497	-							G7082_RS00115	1386		old_locus_tag=G7082_00115
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	18112	19497	-	WP_166033155.1	WP_166033155.1		phage portal protein			G7082_RS00115	1386	461	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	19508	20791	-							G7082_RS00120	1284		old_locus_tag=G7082_00120
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	19508	20791	-	WP_166033156.1	WP_166033156.1		PBSX family phage terminase large subunit			G7082_RS00120	1284	427	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	20800	21573	-					terS		G7082_RS00125	774		old_locus_tag=G7082_00125
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	20800	21573	-	WP_166033157.1	WP_166033157.1		phage terminase small subunit	terS		G7082_RS00125	774	257	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	21661	22233	+							G7082_RS00130	573		old_locus_tag=G7082_00130
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	21661	22233	+	WP_166033158.1	WP_166033158.1		hypothetical protein			G7082_RS00130	573	190	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	22230	22436	-							G7082_RS00135	207		old_locus_tag=G7082_00135
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	22230	22436	-	WP_166033159.1	WP_166033159.1		hypothetical protein			G7082_RS00135	207	68	
gene	protein_coding	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	22574	22762	-							G7082_RS00140	189		old_locus_tag=G7082_00140
CDS	with_protein	GCF_011304195.1	Primary Assembly	chromosome		NZ_CP049887.1	22574	22762	-	WP_166033160.1	WP_166033160.1		hypothetical protein			G7082_RS00140	189	62	
