# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	251	1591	+					dnaA		BHY08_RS00005	1341		old_locus_tag=BHY08_00005
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	251	1591	+	WP_071455927.1	WP_071455927.1		chromosomal replication initiator protein DnaA	dnaA		BHY08_RS00005	1341	446	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	1752	2882	+					dnaN		BHY08_RS00010	1131		old_locus_tag=BHY08_00010
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	1752	2882	+	WP_071455928.1	WP_071455928.1		DNA polymerase III subunit beta	dnaN		BHY08_RS00010	1131	376	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	2972	3448	+							BHY08_RS00015	477		old_locus_tag=BHY08_00015
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	2972	3448	+	WP_071455929.1	WP_071455929.1		glutathione peroxidase			BHY08_RS00015	477	158	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	3796	4029	+					yaaA		BHY08_RS00020	234		old_locus_tag=BHY08_00020
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	3796	4029	+	WP_071455930.1	WP_071455930.1		S4 domain-containing protein YaaA	yaaA		BHY08_RS00020	234	77	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	4032	5165	+					recF		BHY08_RS00025	1134		old_locus_tag=BHY08_00025
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	4032	5165	+	WP_071455931.1	WP_071455931.1		DNA replication/repair protein RecF	recF		BHY08_RS00025	1134	377	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	5155	7101	+					gyrB		BHY08_RS00030	1947		old_locus_tag=BHY08_00030
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	5155	7101	+	WP_071455932.1	WP_071455932.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BHY08_RS00030	1947	648	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	7119	9632	+					gyrA		BHY08_RS00035	2514		old_locus_tag=BHY08_00035
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	7119	9632	+	WP_071455933.1	WP_071455933.1		DNA gyrase subunit A	gyrA		BHY08_RS00035	2514	837	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	9707	10132	+							BHY08_RS00040	426		old_locus_tag=BHY08_00040
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	9707	10132	+	WP_071455934.1	WP_071455934.1		hypothetical protein			BHY08_RS00040	426	141	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	11098	11397	+					rpsF		BHY08_RS00045	300		old_locus_tag=BHY08_00045
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	11098	11397	+	WP_071455935.1	WP_071455935.1		30S ribosomal protein S6	rpsF		BHY08_RS00045	300	99	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	11441	11965	+					ssb		BHY08_RS00050	525		old_locus_tag=BHY08_00050
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	11441	11965	+	WP_071455936.1	WP_071455936.1		single-stranded DNA-binding protein	ssb		BHY08_RS00050	525	174	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	11985	12224	+					rpsR		BHY08_RS00055	240		old_locus_tag=BHY08_00055
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	11985	12224	+	WP_071455937.1	WP_071455937.1		30S ribosomal protein S18	rpsR		BHY08_RS00055	240	79	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	12363	12815	+					rplI		BHY08_RS00060	453		old_locus_tag=BHY08_00060
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	12363	12815	+	WP_071455938.1	WP_071455938.1		50S ribosomal protein L9	rplI		BHY08_RS00060	453	150	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	12839	14206	+					dnaB		BHY08_RS00065	1368		old_locus_tag=BHY08_00065
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	12839	14206	+	WP_071455939.1	WP_071455939.1		replicative DNA helicase	dnaB		BHY08_RS00065	1368	455	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	14328	15620	+							BHY08_RS00070	1293		old_locus_tag=BHY08_00070
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	14328	15620	+	WP_071455940.1	WP_071455940.1		adenylosuccinate synthase			BHY08_RS00070	1293	430	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	15716	16591	+							BHY08_RS00075	876		old_locus_tag=BHY08_00075
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	15716	16591	+	WP_071455941.1	WP_071455941.1		DegV family protein			BHY08_RS00075	876	291	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	16710	17159	+							BHY08_RS00080	450		old_locus_tag=BHY08_00080
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	16710	17159	+	WP_071455942.1	WP_071455942.1		DUF3290 family protein			BHY08_RS00080	450	149	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	17167	17796	+							BHY08_RS00085	630		old_locus_tag=BHY08_00085
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	17167	17796	+	WP_071455943.1	WP_071455943.1		DUF421 domain-containing protein			BHY08_RS00085	630	209	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	17831	19453	-							BHY08_RS00090	1623		old_locus_tag=BHY08_00090
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	17831	19453	-	WP_071455944.1	WP_071455944.1		ATP-binding cassette domain-containing protein			BHY08_RS00090	1623	540	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	19584	20570	-							BHY08_RS00095	987		old_locus_tag=BHY08_00095
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	19584	20570	-	WP_071455945.1	WP_071455945.1		polyprenyl synthetase family protein			BHY08_RS00095	987	328	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	20582	21121	-							BHY08_RS00100	540		old_locus_tag=BHY08_00100
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	20582	21121	-	WP_071455946.1	WP_071455946.1		Gx transporter family protein			BHY08_RS00100	540	179	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	21234	23147	-							BHY08_RS00105	1914		old_locus_tag=BHY08_00105
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	21234	23147	-	WP_071455947.1	WP_071455947.1		NAD(P)/FAD-dependent oxidoreductase			BHY08_RS00105	1914	637	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	23447	23992	+							BHY08_RS00110	546		old_locus_tag=BHY08_00110
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	23447	23992	+	WP_071455948.1	WP_071455948.1		FMN-binding protein			BHY08_RS00110	546	181	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	24081	25175	+							BHY08_RS00115	1095		old_locus_tag=BHY08_00115
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	24081	25175	+	WP_071455949.1	WP_071455949.1		FAD:protein FMN transferase			BHY08_RS00115	1095	364	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	25201	26139	+					menA		BHY08_RS00120	939		old_locus_tag=BHY08_00120
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	25201	26139	+	WP_071455950.1	WP_071455950.1		1,4-dihydroxy-2-naphthoate polyprenyltransferase	menA		BHY08_RS00120	939	312	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	26514	26981	+							BHY08_RS00125	468		old_locus_tag=BHY08_00125
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	26514	26981	+	WP_071455951.1	WP_071455951.1		MSCRAMM family adhesin			BHY08_RS00125	468	155	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	27106	28107	+							BHY08_RS00130	1002		old_locus_tag=BHY08_00130
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	27106	28107	+	WP_071455952.1	WP_071455952.1		LacI family transcriptional regulator			BHY08_RS00130	1002	333	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	28228	29529	+							BHY08_RS00135	1302		old_locus_tag=BHY08_00135
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	28228	29529	+	WP_071455953.1	WP_071455953.1		pyrimidine-nucleoside phosphorylase			BHY08_RS00135	1302	433	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	29883	30278	+							BHY08_RS00140	396		old_locus_tag=BHY08_00140
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	29883	30278	+	WP_071455954.1	WP_071455954.1		cytidine deaminase			BHY08_RS00140	396	131	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	30316	31425	+							BHY08_RS00145	1110		old_locus_tag=BHY08_00145
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	30316	31425	+	WP_071455955.1	WP_071455955.1		BMP family protein			BHY08_RS00145	1110	369	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	31598	33163	+							BHY08_RS00150	1566		old_locus_tag=BHY08_00150
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	31598	33163	+	WP_071455956.1	WP_071455956.1		ABC transporter ATP-binding protein			BHY08_RS00150	1566	521	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	33156	34259	+							BHY08_RS00155	1104		old_locus_tag=BHY08_00155
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	33156	34259	+	WP_071455957.1	WP_071455957.1		ABC transporter permease			BHY08_RS00155	1104	367	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	34259	35221	+							BHY08_RS00160	963		old_locus_tag=BHY08_00160
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	34259	35221	+	WP_071455958.1	WP_071455958.1		ABC transporter permease			BHY08_RS00160	963	320	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	35300	36469	+					deoB		BHY08_RS00165	1170		old_locus_tag=BHY08_00165
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	35300	36469	+	WP_071455959.1	WP_071455959.1		phosphopentomutase	deoB		BHY08_RS00165	1170	389	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	36483	37298	+							BHY08_RS00170	816		old_locus_tag=BHY08_00170
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	36483	37298	+	WP_071455960.1	WP_071455960.1		purine-nucleoside phosphorylase			BHY08_RS00170	816	271	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	37317	38027	+					deoD		BHY08_RS00175	711		old_locus_tag=BHY08_00175
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	37317	38027	+	WP_071455961.1	WP_071455961.1		purine-nucleoside phosphorylase	deoD		BHY08_RS00175	711	236	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	38064	38825	-							BHY08_RS00180	762		old_locus_tag=BHY08_00180
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	38064	38825	-	WP_071455962.1	WP_071455962.1		hypothetical protein			BHY08_RS00180	762	253	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	39019	40206	+					metK		BHY08_RS00185	1188		old_locus_tag=BHY08_00185
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	39019	40206	+	WP_071455963.1	WP_071455963.1		methionine adenosyltransferase	metK		BHY08_RS00185	1188	395	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	40275	41735	+							BHY08_RS00190	1461		old_locus_tag=BHY08_00190
CDS	with_protein	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	40275	41735	+	WP_071455964.1	WP_071455964.1		MFS transporter			BHY08_RS00190	1461	486	
gene	protein_coding	GCF_001870205.1	Primary Assembly	chromosome		NZ_CP017267.1	41782	42150	-							BHY08_RS00195	369		old_locus_tag=BHY08_00195
