# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	1	1344	+					dnaA		FA707_RS00005	1344		old_locus_tag=FA707_00005
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	1	1344	+	WP_136952305.1	WP_136952305.1		chromosomal replication initiator protein DnaA	dnaA		FA707_RS00005	1344	447	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	1517	2647	+					dnaN		FA707_RS00010	1131		old_locus_tag=FA707_00010
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	1517	2647	+	WP_136952306.1	WP_136952306.1		DNA polymerase III subunit beta	dnaN		FA707_RS00010	1131	376	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	2863	3126	+					yaaA		FA707_RS00015	264		old_locus_tag=FA707_00015
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	2863	3126	+	WP_136952307.1	WP_136952307.1		S4 domain-containing protein YaaA	yaaA		FA707_RS00015	264	87	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	3113	4240	+					recF		FA707_RS00020	1128		old_locus_tag=FA707_00020
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	3113	4240	+	WP_136952308.1	WP_136952308.1		DNA replication/repair protein RecF	recF		FA707_RS00020	1128	375	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	4275	6215	+					gyrB		FA707_RS00025	1941		old_locus_tag=FA707_00025
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	4275	6215	+	WP_136952309.1	WP_136952309.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		FA707_RS00025	1941	646	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	6244	8910	+					gyrA		FA707_RS00030	2667		old_locus_tag=FA707_00030
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	6244	8910	+	WP_136952310.1	WP_136952310.1		DNA gyrase subunit A	gyrA		FA707_RS00030	2667	888	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	9297	9596	+					rpsF		FA707_RS00035	300		old_locus_tag=FA707_00035
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	9297	9596	+	WP_136952311.1	WP_136952311.1		30S ribosomal protein S6	rpsF		FA707_RS00035	300	99	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	9641	10156	+					ssb		FA707_RS00040	516		old_locus_tag=FA707_00040
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	9641	10156	+	WP_136952312.1	WP_136952312.1		single-stranded DNA-binding protein	ssb		FA707_RS00040	516	171	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	10176	10418	+					rpsR		FA707_RS00045	243		old_locus_tag=FA707_00045
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	10176	10418	+	WP_135253853.1	WP_135253853.1		30S ribosomal protein S18	rpsR		FA707_RS00045	243	80	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	10560	11012	+					rplI		FA707_RS00050	453		old_locus_tag=FA707_00050
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	10560	11012	+	WP_136952313.1	WP_136952313.1		50S ribosomal protein L9	rplI		FA707_RS00050	453	150	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	11036	12397	+					dnaB		FA707_RS00055	1362		old_locus_tag=FA707_00055
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	11036	12397	+	WP_136952314.1	WP_136952314.1		replicative DNA helicase	dnaB		FA707_RS00055	1362	453	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	12562	13854	+							FA707_RS00060	1293		old_locus_tag=FA707_00060
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	12562	13854	+	WP_136952315.1	WP_136952315.1		adenylosuccinate synthase			FA707_RS00060	1293	430	
gene	protein_coding	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	13875	14732	+							FA707_RS00065	858		old_locus_tag=FA707_00065
CDS	with_protein	GCF_005145005.1	Primary Assembly	chromosome		NZ_CP039712.1	13875	14732	+	WP_136952316.1	WP_136952316.1		DegV family protein			FA707_RS00065	858	285	
