# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	1	2426	-							H9L18_RS00005	2426		old_locus_tag=H9L18_00005
rRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	1	2426	-				23S ribosomal RNA			H9L18_RS00005	2426		
gene	rRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	2660	4216	-							H9L18_RS00010	1557		old_locus_tag=H9L18_00010
rRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	2660	4216	-				16S ribosomal RNA			H9L18_RS00010	1557		
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4459	4532	-							H9L18_RS00015	74		old_locus_tag=H9L18_00015
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4459	4532	-				tRNA-Pro			H9L18_RS00015	74		anticodon=TGG
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4546	4619	-							H9L18_RS00020	74		old_locus_tag=H9L18_00020
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4546	4619	-				tRNA-Arg			H9L18_RS00020	74		anticodon=ACG
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4637	4722	-							H9L18_RS00025	86		old_locus_tag=H9L18_00025
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4637	4722	-				tRNA-Leu			H9L18_RS00025	86		anticodon=TAA
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4736	4807	-							H9L18_RS00030	72		old_locus_tag=H9L18_00030
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4736	4807	-				tRNA-Gly			H9L18_RS00030	72		anticodon=GCC
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4817	4889	-							H9L18_RS00035	73		old_locus_tag=H9L18_00035
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4817	4889	-				tRNA-Thr			H9L18_RS00035	73		anticodon=TGT
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4912	4984	-							H9L18_RS00040	73		old_locus_tag=H9L18_00040
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4912	4984	-				tRNA-Lys			H9L18_RS00040	73		anticodon=TTT
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4994	5066	-							H9L18_RS00045	73		old_locus_tag=H9L18_00045
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	4994	5066	-				tRNA-Val			H9L18_RS00045	73		anticodon=TAC
gene	rRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	5084	5199	-					rrf		H9L18_RS00050	116		old_locus_tag=H9L18_00050
rRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	5084	5199	-				5S ribosomal RNA	rrf		H9L18_RS00050	116		
gene	rRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	5281	8193	-							H9L18_RS00055	2913		old_locus_tag=H9L18_00055
rRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	5281	8193	-				23S ribosomal RNA			H9L18_RS00055	2913		
gene	rRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	8427	9984	-							H9L18_RS00060	1558		old_locus_tag=H9L18_00060
rRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	8427	9984	-				16S ribosomal RNA			H9L18_RS00060	1558		
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10227	10300	-							H9L18_RS00065	74		old_locus_tag=H9L18_00065
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10227	10300	-				tRNA-Pro			H9L18_RS00065	74		anticodon=TGG
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10314	10387	-							H9L18_RS00070	74		old_locus_tag=H9L18_00070
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10314	10387	-				tRNA-Arg			H9L18_RS00070	74		anticodon=ACG
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10405	10490	-							H9L18_RS00075	86		old_locus_tag=H9L18_00075
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10405	10490	-				tRNA-Leu			H9L18_RS00075	86		anticodon=TAA
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10504	10575	-							H9L18_RS00080	72		old_locus_tag=H9L18_00080
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10504	10575	-				tRNA-Gly			H9L18_RS00080	72		anticodon=GCC
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10585	10657	-							H9L18_RS00085	73		old_locus_tag=H9L18_00085
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10585	10657	-				tRNA-Thr			H9L18_RS00085	73		anticodon=TGT
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10680	10752	-							H9L18_RS00090	73		old_locus_tag=H9L18_00090
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10680	10752	-				tRNA-Lys			H9L18_RS00090	73		anticodon=TTT
gene	tRNA	GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10762	10834	-							H9L18_RS00095	73		old_locus_tag=H9L18_00095
tRNA		GCF_014397115.1	Primary Assembly	chromosome		NZ_CP060720.1	10762	10834	-				tRNA-Val			H9L18_RS00095	73		anticodon=TAC
