# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	1530356	587	-					mraY		G7081_RS00005	966		old_locus_tag=G7081_00005
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	1530356	587	-	WP_166008343.1	WP_166008343.1		phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY		G7081_RS00005	966	321	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	617	2638	-							G7081_RS00010	2022		old_locus_tag=G7081_00010
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	617	2638	-	WP_166006222.1	WP_166006222.1		penicillin-binding protein 2			G7081_RS00010	2022	673	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	2638	3012	-					ftsL		G7081_RS00015	375		old_locus_tag=G7081_00015
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	2638	3012	-	WP_166006224.1	WP_166006224.1		cell division protein FtsL	ftsL		G7081_RS00015	375	124	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	3031	3984	-					rsmH		G7081_RS00020	954		old_locus_tag=G7081_00020
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	3031	3984	-	WP_166006226.1	WP_166006226.1		16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	rsmH		G7081_RS00020	954	317	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	4077	4508	-					mraZ		G7081_RS00025	432		old_locus_tag=G7081_00025
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	4077	4508	-	WP_166006228.1	WP_166006228.1		division/cell wall cluster transcriptional repressor MraZ	mraZ		G7081_RS00025	432	143	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	4676	5044	-							G7081_RS00030	369		old_locus_tag=G7081_00030
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	4676	5044	-	WP_166006230.1	WP_166006230.1		DUF3397 domain-containing protein			G7081_RS00030	369	122	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	5189	6142	+							G7081_RS00035	954		old_locus_tag=G7081_00035
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	5189	6142	+	WP_166006232.1	WP_166006232.1		magnesium transporter CorA family protein			G7081_RS00035	954	317	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	6233	6355	+							G7081_RS00040	123		old_locus_tag=G7081_00040
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	6233	6355	+	WP_202982266.1	WP_202982266.1		DUF4044 domain-containing protein			G7081_RS00040	123	40	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	6397	8070	-					recN		G7081_RS00045	1674		old_locus_tag=G7081_00045
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	6397	8070	-	WP_166006234.1	WP_166006234.1		DNA repair protein RecN	recN		G7081_RS00045	1674	557	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	8082	8537	-							G7081_RS00050	456		old_locus_tag=G7081_00050
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	8082	8537	-	WP_166006236.1	WP_166006236.1		ArgR family transcriptional regulator			G7081_RS00050	456	151	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	8568	9401	-							G7081_RS00055	834		old_locus_tag=G7081_00055
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	8568	9401	-	WP_166008345.1	WP_166008345.1		TlyA family RNA methyltransferase			G7081_RS00055	834	277	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	9421	10314	-							G7081_RS00060	894		old_locus_tag=G7081_00060
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	9421	10314	-	WP_166006238.1	WP_166006238.1		polyprenyl synthetase family protein			G7081_RS00060	894	297	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	10320	10550	-							G7081_RS00065	231		old_locus_tag=G7081_00065
CDS	with_protein	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	10320	10550	-	WP_166006240.1	WP_166006240.1		exodeoxyribonuclease VII small subunit			G7081_RS00065	231	76	
gene	protein_coding	GCF_011303955.1	Primary Assembly	chromosome		NZ_CP049886.1	10551	11900	-					xseA		G7081_RS00070	1350		old_locus_tag=G7081_00070
